Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Treatment,Chamber.Vol.L,Surface.Area.cm2,Notes
20210204,AST-2533,3,3,1,8,Acclimatization,0.601,25,NA
20210204,AST-2003,7,7,1,8,Acclimatization,0.566,25,NA
20210204,AST-2873,8,8,1,8,Acclimatization,0.596,25,NA
20210204,AST-1585,1,1,1,8,Acclimatization,0.596,25,NA
20210204,AST-1722,6,6,1,8,Acclimatization,0.578,25,NA
20210204,BK-1,5,5,1,8,Acclimatization,0.616,NA,NA
20210204,BK-2,2,2,1,8,Acclimatization,0.612,NA,NA
20210204,AST-2197,1,1,2,8,Acclimatization,0.59,25,NA
20210204,AST-1618,2,2,2,8,Acclimatization,0.592,25,NA
20210204,BK-4,3,3,2,8,Acclimatization,0.505,NA,NA
20210204,AST-2859,5,5,2,8,Acclimatization,0.626,25,NA
20210204,AST-1233,6,6,2,8,Acclimatization,0.586,25,NA
20210204,AST-1423,7,7,2,8,Acclimatization,0.594,25,NA
20210204,BK-3,8,8,2,8,Acclimatization,0.62,NA,NA
20210204,BK-5,1,1,3,8,Acclimatization,0.61,NA,NA
20210204,BK-6,2,2,3,8,Acclimatization,0.616,NA,NA
20210204,AST-1593,3,3,3,8,Acclimatization,0.616,25,NA
20210204,AST-1567,5,5,3,8,Acclimatization,0.61,25,NA
20210204,AST-1147,6,6,3,8,Acclimatization,0.6,25,NA
20210204,AST-2398,7,7,3,8,Acclimatization,0.608,25,NA
20210204,AST-1345,8,8,3,8,Acclimatization,0.598,25,NA
20210204,BK-7,1,1,4,8,Acclimatization,0.606,NA,NA
20210204,AST-2198,2,2,4,8,Acclimatization,0.594,25,NA
20210304,BK-8,1,1,5,6.06,Ambient,0.618,NA,NA
20210304,BK-9,3,3,5,6.06,Ambient,0.624,NA,NA
20210304,AST-2520,5,5,5,6.06,Ambient,0.61,25,NA
20210304,AST-2378,6,6,5,6.06,Ambient,0.6,25,NA
20210304,AST-1457,7,7,5,6.06,Ambient,0.606,25,NA
20210304,AST-1138,8,8,5,6.06,Ambient,0.616,25,NA
20210304,AST-2209,2,2,6,5.18,Ambient,0.6,25,NA
20210304,BK-10,3,3,6,5.18,Ambient,0.616,NA,NA
20210304,AST-1058,5,5,6,5.18,Ambient,0.618,25,NA
20210304,AST-1497,6,6,6,5.18,Ambient,0.6,25,NA
20210304,BK-11,7,7,6,5.18,Ambient,0.62,NA,NA
20210304,AST-1696,8,8,6,5.18,Ambient,0.61,25,NA
20210304,AST-1332,1,1,7,9,Heat,0.6,25,NA
20210304,AST-1777,2,2,7,9,Heat,0.61,25,NA
20210304,AST-1649,3,3,7,9,Heat,0.604,25,NA
20210304,BK-12,5,5,7,9,Heat,0.616,NA,NA
20210304,AST-1630,7,7,7,9,Heat,0.608,25,NA
20210304,BK-13,8,8,7,9,Heat,0.614,NA,NA
20210304,BK-15,2,2,8,9.45,Heat,0.61,NA,NA
20210304,AST-1146,3,3,8,9.45,Heat,0.61,25,NA
20210304,AST-1185,5,5,8,9.45,Heat,0.61,25,NA
20210304,AST-2301,6,6,8,9.45,Heat,0.568,25,NA
20210304,BK-14,7,7,8,9.45,Heat,0.618,NA,NA
20210304,AST-1325,8,8,8,9.45,Heat,0.608,25,NA
20210401,BK-16,1,1,9,6.15,Ambient,0.548,NA,NA
20210401,AST-2539,3,3,9,6.15,Ambient,0.574,25,NA
20210401,AST-1037,5,5,9,6.15,Ambient,0.582,25,NA
20210401,AST-1337,6,6,9,6.15,Ambient,0.584,25,NA
20210401,AST-2020,7,7,9,6.15,Ambient,0.608,25,NA
20210401,BK-17,8,8,9,6.15,Ambient,0.524,NA,NA
20210401,AST-2403,1,1,10,6.19,Ambient,0.602,25,NA
20210401,AST-1182,2,2,10,6.19,Ambient,0.592,25,NA
20210401,BK-19,3,3,10,6.19,Ambient,0.61,NA,NA
20210401,BK-18,5,5,10,6.19,Ambient,0.604,NA,NA
20210401,AST-2538,6,6,10,6.19,Ambient,0.588,25,NA
20210401,AST-1288,8,8,10,6.19,Ambient,0.6,25,did not get vol; this is average vol from run 2
20210401,BK-21,1,1,11,10.15,Heat,0.606,NA,NA
20210401,AST-2165,2,2,11,10.15,Heat,0.59,25,NA
20210401,AST-1496,3,3,11,10.15,Heat,0.61,25,NA
20210401,AST-1473,6,6,11,10.15,Heat,0.594,25,NA
20210401,AST-1735,7,7,11,10.15,Heat,0.6,25,NA
20210401,BK-20,8,8,11,10.15,Heat,0.612,NA,NA
20210401,BK-23,1,1,12,9.88,Heat,0.604,NA,NA
20210401,AST-1273,2,2,12,9.88,Heat,0.606,25,NA
20210401,BK-22,3,3,12,9.88,Heat,0.59,NA,NA
20210401,AST-2541,5,5,12,9.88,Heat,0.602,25,NA
20210401,AST-1184,7,7,12,9.88,Heat,0.604,25,NA
20210401,AST-1761,8,8,12,9.88,Heat,0.602,25,NA
20210429,AST-1075,3,1,13,12.33,Heat,0.56,25,NA
20210429,AST-1228,8,2,13,12.33,Heat,0.56,25,NA
20210429,AST-1148,5,3,13,12.33,Heat,0.6,25,NA
20210429,AST-2561,6,4,13,12.33,Heat,0.59,25,NA
20210429,BK-26,7,5,13,12.33,Heat,0.615,NA,NA
20210429,AST-1080,3,1,14,13.6,Heat,0.606,25,NA
20210429,AST-1689,5,2,14,13.6,Heat,0.596,25,NA
20210429,AST-2731,7,3,14,13.8,Heat,0.61,25,NA
20210429,AST-1249,6,4,14,13.2,Heat,0.608,25,NA
20210429,BK-27,8,5,14,13.1,Heat,0.615,NA,NA
20210429,AST-1443,5,5,15,10.26,Ambient,0.59,25,NA
20210429,AST-2016,7,1,15,10.3,Ambient,0.606,25,NA
20210429,AST-1077,3,3,15,10.39,Ambient,0.596,25,NA
20210429,AST-1434,6,2,15,10.32,Ambient,0.59,25,NA
20210429,BK-28,8,4,15,10.34,Ambient,0.615,NA,NA
20210429,AST-1719,3,3,16,10.67,Ambient,0.595,25,NA
20210429,AST-1432,7,1,16,10.79,Ambient,0.6,25,NA
20210429,AST-1126,6,2,16,10.63,Ambient,0.6,25,NA
20210429,AST-2867,5,5,16,10.63,Ambient,0.595,25,NA
20210429,BK-29,8,4,16,10.62,Ambient,0.615,NA,NA
20210527,AST-1109,3,1,17,14.06,Ambient,0.584,25,NA
20210527,AST-1568,2,2,17,14.06,Ambient,0.598,25,NA
20210527,AST-2060,7,3,17,14.06,Ambient,0.594,25,NA
20210527,AST-2880,6,4,17,14.06,Ambient,0.598,25,NA
20210527,BK-30,5,5,17,14.06,Ambient,0.6,NA,NA
20210527,AST-1174,6,1,18,14.06,Ambient,0.604,25,NA
20210527,AST-1343,3,2,18,14.06,Ambient,0.574,25,NA
20210527,AST-1474,7,3,18,14.06,Ambient,0.6,25,NA
20210527,AST-1194,5,4,18,14.06,Ambient,0.594,25,NA
20210527,BK-31,2,5,18,14.06,Ambient,0.604,NA,NA
20210527,BK-32,3,1,19,17.18,Heat,0.61,NA,NA
20210527,AST-1694,5,2,19,17.18,Heat,0.606,25,NA
20210527,AST-1499,7,3,19,17.18,Heat,0.606,25,NA
20210527,AST-2669,6,4,19,17.18,Heat,0.61,25,NA
20210527,AST-1826,2,5,19,17.18,Heat,0.598,25,NA
20210527,AST-1754,5,1,20,17.18,Heat,0.605,25,NA
20210527,AST-1152,6,2,20,17.18,Heat,0.596,25,NA
20210527,BK-33,2,3,20,17.18,Heat,0.6,NA,NA
20210527,AST-2728,3,4,20,17.18,Heat,0.602,25,NA
20210527,AST-2521,2,5,20,17.18,Heat,0.605,25,NA
20210624,AST-1692,3,3,21,16.33,Ambient,0.621,25,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1412,8,8,21,16.35,Ambient,0.62,25,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1458,4,4,21,16,Ambient,0.615,25,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2360,7,7,21,16.33,Ambient,0.625,25,Did not take temp; temp is average of first and last value from PR file
20210624,BK-35,5,5,21,16.19,Ambient,0.619,NA,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2375,8,8,22,15.04,Ambient,0.61,25,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2000,7,7,22,14.93,Ambient,0.605,25,Did not take temp; temp is average of first and last value from PR file
